lag_h,HUFL,HULL,MUFL,MULL,LUFL,LULL
0,0.19538081225434112,0.5996237473881934,0.14546536326443968,0.5235756392613824,0.3166913655281884,0.26787389211593987
1,0.18230735018510574,0.6054749454802707,0.13126430607627,0.5280693370463702,0.31806445871382105,0.271316715353713
2,0.17436023255934205,0.6118529599290975,0.1218772809529409,0.5325840958635404,0.321618733388699,0.2740412548883452
3,0.1719738075216467,0.6183237203571308,0.11809799463646281,0.5376251047699643,0.3272094679908189,0.27715304533028734
4,0.17367017013513858,0.6235661140966071,0.1191030113042226,0.5418319072912106,0.3300049348838164,0.2792306434420194
5,0.1796489599170526,0.62845003996631,0.12497322138816981,0.5460652529787269,0.3318999308119705,0.2809352484914974
6,0.19073890198276044,0.6327271637907064,0.13621215559752034,0.5497222000195174,0.33449649667809284,0.28211240887908856
7,0.20429025921754576,0.6355838116696779,0.1504207978827088,0.5525072667769844,0.33524000234414714,0.2822025156521529
8,0.21892538377021245,0.6375849651183155,0.16632542210624776,0.5544333639445557,0.33273575507138486,0.2807999963032864
9,0.23397503521970586,0.6393259952500785,0.1826007290897875,0.5563202871426607,0.3305280587743915,0.27842072066210755
10,0.2479803264537195,0.6394639348467154,0.19781393614144438,0.5570377935193284,0.328883695560426,0.27580261240519555
11,0.25885077394736644,0.6383736528959996,0.20995360048554404,0.5564646709684917,0.32579740865818213,0.27199801501837295
12,0.2665019640069301,0.6355472042595495,0.21894455297273255,0.5542123444641246,0.3210794720733865,0.26827263320490835
13,0.27199863449984696,0.6311697813096228,0.2259374905944353,0.5511652690840468,0.31627206135174096,0.2645726777821445
14,0.2758435015163487,0.6247233605061863,0.2308801572967141,0.5461884984339431,0.3129011006448896,0.2614884825391613
15,0.27756936800651333,0.6170084996701942,0.23343069769857552,0.5402174994571284,0.31001141954502387,0.25829186904533646
16,0.2761510239350555,0.6084339324769027,0.23249778496123163,0.5325641438689085,0.30917586047848783,0.25621413150607913
17,0.2722233924344312,0.5994787242771357,0.22847532273127105,0.5248060301813775,0.3097996776790286,0.2548357381866839
18,0.26588595483445815,0.5920051804100237,0.22188011361217472,0.5179948667676719,0.3105294268193907,0.25427278423224164
19,0.2564845137057209,0.5852560435186691,0.2120698407038223,0.5119904784887194,0.31111873816557073,0.25441415070539797
20,0.2447954953069333,0.5798748592614603,0.1997984084344994,0.5068556991869496,0.3107331950324312,0.2549124776650494
21,0.23162254449793943,0.5780285051494481,0.18632704797968547,0.505276908577299,0.30856883112474337,0.2563398125331922
22,0.21575131514407409,0.5776757618415559,0.17043981112693382,0.5053924337544883,0.3033860366179208,0.2583898857694346
23,0.19997662326381022,0.5798480257691121,0.15443328454416194,0.5073104822764053,0.29917625053434693,0.26049984558738964
24,0.18603277477948904,0.5833236300300471,0.13981892442617447,0.5102424983975031,0.29716266120049317,0.26347614899916477
