lag_h,HUFL,HULL,MUFL,MULL,LUFL,LULL
0,0.0037303264775737544,0.09358923530899861,0.24239690721835566,0.3505978841202543,-0.3345232278028578,-0.16993232039476946
1,-0.0028870092798742634,0.08458760796118711,0.24068305211780103,0.3430785246424761,-0.3401326547923938,-0.17118858939543957
2,-0.011086850256050601,0.07404327459480425,0.23742034758751307,0.3329875894325528,-0.3440211029496237,-0.17222119076014158
3,-0.021341846488262834,0.06205325609037952,0.23264411839089566,0.3206719413551876,-0.3459987929466013,-0.1730089396890071
4,-0.03384517246548239,0.0497256000443409,0.2263166473014749,0.30728077563068523,-0.3460007059810088,-0.17362171307794427
5,-0.047182662736776015,0.03951542300110924,0.21926210855142483,0.29659564542702815,-0.3450237071323723,-0.1740574618326479
6,-0.06175497001877636,0.029443476487928267,0.21126853558771508,0.2859348421626677,-0.34284517344485166,-0.17433320600736088
7,-0.07635546415855014,0.020533794437190958,0.20315388458884248,0.276354601915838,-0.33973708934849883,-0.1745049377793552
8,-0.08900712841076801,0.014332983400673214,0.19575154032520795,0.2696979429038518,-0.33633685085664233,-0.17461614849863058
9,-0.09993360284444044,0.009935047904600475,0.18960967695827913,0.26525835367641265,-0.33332286513149534,-0.1746438704101561
10,-0.10714525539125712,0.008210856554256437,0.185307445565732,0.26328427198587545,-0.33003759300161384,-0.17453130214641205
11,-0.11005221893841848,0.00875621414835512,0.1831936006448024,0.26315368827201596,-0.32665653203064976,-0.17417921105353382
12,-0.10793506034969619,0.011420881364012939,0.18369333390378523,0.26461701355300654,-0.3229689726595411,-0.17368007524686968
13,-0.10132061196993221,0.015532742994292541,0.186625124961642,0.26671602035701614,-0.3186706459085969,-0.17304628207684378
14,-0.0908606684541249,0.02075990789275009,0.19148209133998972,0.26940390582105384,-0.3139283827957406,-0.1722615929919168
15,-0.07824434997655265,0.026037460199028504,0.19765164794130058,0.2721371923522596,-0.30966281398974554,-0.17144759306289553
16,-0.06425770540030046,0.03198635513634275,0.20471582557588733,0.2760060802312852,-0.30597020682045617,-0.17058573388847426
17,-0.050204545979701656,0.03859164780054181,0.21210812474726243,0.28138528280632225,-0.3037364116285022,-0.16984373138888986
18,-0.03798490620173955,0.045028785630639695,0.21888960828894968,0.28783087559048914,-0.30370382259376916,-0.16934634798506157
19,-0.029647028728278083,0.049366691503372986,0.2243258450449759,0.29332009983452695,-0.3059203402038968,-0.16917799406515593
20,-0.023817073796012788,0.05309371980857749,0.22880899445507294,0.2996750903246818,-0.3102191997071354,-0.16929798967168846
21,-0.020526897101167615,0.05492542270507837,0.23230883156224993,0.30485596853035196,-0.316210443138563,-0.16966466248599335
22,-0.01982478722888982,0.05453334359026513,0.23481998931439435,0.3080363505306031,-0.3235030967225092,-0.17031213192831476
23,-0.02191403755404177,0.05114110432003226,0.23594391925910452,0.3076868279165787,-0.3314605609014872,-0.17114538319553751
24,-0.026548402581872695,0.044917190972507154,0.23563308323233495,0.3035744670737672,-0.3387841603930288,-0.1720710651346236
