date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,month,day,hour,dayofweek
2016-07-01 00:00:00,41.13000106811523,12.480999946594238,36.5359992980957,9.354999542236328,4.423999786376953,1.3109999895095823,38.6619987487793,7,1,0,4
2016-07-01 01:00:00,37.52799987792969,10.13599967956543,33.93600082397461,7.532000064849853,4.434999942779541,1.2150000333786009,37.124000549316406,7,1,1,4
2016-07-01 02:00:00,37.946998596191406,11.309000015258787,35.33000183105469,9.006999969482422,2.0999999046325684,0.0,36.46500015258789,7,1,2,4
2016-07-01 03:00:00,38.95199966430664,11.895000457763672,35.54399871826172,9.435999870300291,3.380000114440918,1.2150000333786009,33.60850143432617,7,1,3,4
2016-07-01 04:00:00,38.11399841308594,11.47599983215332,35.40999984741211,9.623000144958496,2.0360000133514404,0.0,31.850500106811523,7,1,4,4
2016-07-01 05:00:00,36.77399826049805,10.973999977111816,34.928001403808594,9.248000144958496,2.0360000133514404,0.0,30.53199958801269,7,1,5,4
2016-07-01 06:00:00,39.0359992980957,11.810999870300291,37.15299987792969,10.07900047302246,2.0360000133514404,0.0,30.093000411987305,7,1,6,4
2016-07-01 07:00:00,39.37099838256836,11.309000015258787,36.5359992980957,9.409000396728516,2.068000078201294,0.0,29.87299919128418,7,1,7,4
2016-07-01 08:00:00,33.92599868774414,8.461000442504883,31.89900016784668,6.486999988555907,2.0150001049041752,0.0,29.65299987792969,7,1,8,4
2016-07-01 09:00:00,38.44900131225586,13.904999732971191,37.2869987487793,12.142999649047852,1.2690000534057615,0.0,29.21349906921387,7,1,9,4
2016-07-01 10:00:00,35.93600082397461,9.550000190734863,34.257999420166016,8.041999816894531,1.2690000534057615,0.0,27.45599937438965,7,1,10,4
2016-07-01 11:00:00,35.76900100708008,9.465999603271484,33.93600082397461,7.907999992370605,1.2690000534057615,0.0,27.45599937438965,7,1,11,4
2016-07-01 12:00:00,40.20899963378906,12.984000205993652,38.76100158691406,11.097999572753906,1.343000054359436,0.0,27.236499786376957,7,1,12,4
2016-07-01 13:00:00,37.025001525878906,11.895000457763672,35.73199844360352,10.427000045776367,1.3860000371932983,0.0,26.57699966430664,7,1,13,4
2016-07-01 14:00:00,39.95700073242188,13.319000244140623,38.573001861572266,11.418999671936035,1.2899999618530271,0.0,26.79700088500977,7,1,14,4
2016-07-01 15:00:00,40.29199981689453,13.487000465393065,39.055999755859375,11.875,1.2690000534057615,0.0,26.79700088500977,7,1,15,4
2016-07-01 16:00:00,40.87900161743164,13.56999969482422,39.45800018310547,11.847999572753904,1.493000030517578,0.0,26.79700088500977,7,1,16,4
