station,city,r_raw,r_7d
ETTh1,Beijing,0.7699576554708857,0.8298197580425568
ETTh1,Shijiazhuang,0.7681504338507671,0.8319357004496087
ETTh1,Taiyuan,0.7831298390024913,0.8528975229450922
ETTh1,Jinan,0.8024898445062738,0.8564371738672384
ETTh1,Zhengzhou,0.8150673716051717,0.8700285634735558
ETTh1,Shenyang,0.7860570301665203,0.8518372062501942
ETTh2,Beijing,0.8868596311176087,0.9450127020022835
ETTh2,Shijiazhuang,0.8912683150856224,0.9502615550485944
ETTh2,Taiyuan,0.9019496865277784,0.9614254719130843
ETTh2,Jinan,0.8993528970921082,0.9603556973599678
ETTh2,Zhengzhou,0.9181505778612039,0.969860669557031
ETTh2,Shenyang,0.8746849803508508,0.9523173872967987
